ASV,A_AXH,A_BTH,A_CH,A_CJH,A_DCDH,A_DCXH,A_DCXM,A_DZH,A_JSH,A_JXH,A_LHC,A_MYH,A_NXH,A_PYH1,A_PYH2,A_PYH3,A_QLH,A_QSH,A_SH,A_SXH,A_XH,A_XMH,A_XZH,A_YFH,A_YH,A_YNH,A_YQH,A_ZH,C_AXH,C_BTH,C_CH,C_CJH,C_DCDH,C_DCXH,C_DCXM,C_DZH,C_JSH,C_JXH,C_LHC,C_MYH,C_NXH,C_PYH1,C_PYH2,C_PYH3,C_QLH,C_QSH,C_SH,C_SXH,C_XH,C_XMH,C_XZH,C_YFH,C_YH,C_YNH,C_YQH,C_ZH
ASV_00001,18483,2841,6923,2127,10990,8618,6155,7305,11909,13157,1486,15527,32704,32142,31150,18288,10135,4367,8161,9055,17110,1364,25552,1383,22843,17130,6710,17503,371,172,297,665,434,459,925,410,1053,467,590,482,307,614,1518,909,210,360,221,262,473,735,657,292,683,456,573,834
ASV_00002,3318,8582,23155,2023,7590,6935,1219,6354,8085,2324,5960,18493,3386,11244,7293,7704,2945,2306,18001,2538,6147,3866,11474,2667,4823,16789,1936,8982,462,288,693,3034,614,463,3450,355,1453,1168,1171,693,351,904,1915,2383,464,731,466,363,1995,563,790,196,2403,724,1199,2274
ASV_00003,34259,551,3159,4452,3390,3336,1166,1710,437,3428,2466,4040,7584,6764,4829,3200,5417,15103,617,2096,10923,247,5853,1375,9144,1634,2301,710,4456,507,1005,3807,10568,7726,1210,1550,220,1392,5548,1935,1855,423,1122,1101,397,1409,227,6440,1039,2968,1089,496,5462,798,811,214
ASV_00004,493,285,857,122,8477,7713,35801,1028,3747,273,5844,24666,7797,305,3261,3544,233,293,1024,17621,1558,7153,3967,411,894,1908,1624,562,101,14,57,77,111,84,700,135,39,44,80,234,68,83,269,176,33,28,33,77,35,125,97,16,97,26,49,37
ASV_00006,330,201,4043,236,629,1135,1020,1274,7317,751,207,252,989,12465,5864,7594,981,287,4594,924,1168,140,5873,93,636,904,1110,3134,459,198,1072,6385,732,1035,15621,528,60114,5227,754,637,825,10637,26597,14082,347,790,292,302,4160,537,3241,234,2526,1311,5208,16832
ASV_00005,24531,421,1205,3440,4136,2247,948,886,354,2385,1626,3045,7186,3641,2817,1712,3648,13298,457,1648,7124,225,3824,1079,7668,1441,1455,469,2651,368,845,3012,8325,6374,843,596,155,790,3693,1232,1068,294,619,752,232,980,0,3496,313,1978,758,290,4636,544,459,121
ASV_00007,677,688,2542,167,5172,8521,3351,2839,2848,555,8246,17014,6020,1532,10727,8248,293,274,730,4696,1504,1373,6070,509,4772,2056,1271,4562,282,167,657,304,193,155,4368,727,1028,475,247,325,549,2536,5853,2560,202,372,283,108,364,471,1360,215,293,584,546,790
ASV_00008,844,700,245,133,34,66,1078,28,227,169,583,919,395,360,310,901,84,217,103,159,588,468,617,308,579,268,714,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_00009,172,296,1426,59,906,2846,3255,865,2914,278,5896,5785,1305,1038,2525,2857,149,121,583,2916,507,308,1752,453,878,1333,908,1034,381,137,5112,217,245,242,8857,3821,2072,551,341,591,1635,3847,8597,6179,318,388,1362,109,557,449,3402,192,231,1265,2569,2349
ASV_00010,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1778,7827,609,5250,4714,5721,277,4152,108,4338,1888,32862,1869,402,1113,1686,858,537,110,8884,1178,20423,2986,10326,3325,684,20758,356
ASV_00011,467,1762,1574,1715,220,350,1434,735,1004,9120,377,1542,851,1858,2752,770,12011,916,1191,601,3379,667,389,1208,633,3218,1830,2029,45,69,24,206,53,52,25,41,6,149,89,110,81,16,77,76,44,53,0,100,45,229,35,107,98,46,149,34
ASV_00012,0,0,1250,0,574,475,37,439,150,49,85,610,0,293,110,166,0,0,1202,0,93,0,131,0,0,99,284,749,1968,353,2639,452,1428,1159,2491,3323,2053,11140,534,15675,1489,3159,6404,11923,1140,3127,2694,230,4007,1664,3879,819,513,11094,12863,16279
ASV_00013,1446,1010,147,730,217,193,98,647,77,957,135,144,131,259,277,190,739,4204,113,50,769,120,178,303,615,212,391,152,5604,1704,1869,2326,1111,1405,577,1082,461,9123,7043,4611,5155,642,965,1845,5530,4426,1942,3106,2366,2499,1736,3983,4529,1759,3886,654
ASV_00014,2905,1017,1019,264,3581,1948,1202,1865,493,887,972,837,2328,4819,3439,2188,789,1770,863,1830,1516,2034,4385,224,4347,1128,432,417,99,86,246,269,129,132,631,150,301,151,235,169,175,152,345,294,58,128,86,67,216,439,297,103,343,182,209,197
ASV_00015,1134,1941,607,182,1830,860,264,2165,316,1427,722,3075,703,3846,4318,1459,751,1320,807,182,4909,195,2877,700,4474,7107,862,578,248,64,213,1172,396,280,391,221,2854,694,259,0,190,342,610,553,111,263,238,92,780,469,285,165,474,751,205,322
